age,identifier,section,region,human_cell_count,has_human_count
p20,M648,041,VISl,,False
p20,M648,041,VISli,,False
p20,M648,041,VISp,,False
p20,M648,041,VISpm,,False
p20,M648,041,VISpor,,False
p20,M648,041,VISrl,,False
p20,M648,042,RSPd,,False
p20,M648,042,RSPv,,False
p20,M648,042,VISa,,False
p20,M648,042,VISal,,False
p20,M648,042,VISam,,False
p20,M648,042,VISl,,False
p20,M648,042,VISli,,False
p20,M648,042,VISp,,False
p20,M648,042,VISpm,,False
p20,M648,042,VISpor,,False
p20,M648,042,VISrl,,False
p20,M648,043,RSPd,,False
p20,M648,043,RSPv,,False
p20,M648,043,VISa,,False
p20,M648,043,VISal,,False
p20,M648,043,VISam,,False
p20,M648,043,VISl,,False
p20,M648,043,VISli,,False
p20,M648,043,VISp,,False
p20,M648,043,VISpm,,False
p20,M648,043,VISpor,,False
p20,M648,043,VISrl,,False
p20,M648,044,RSPd,,False
p20,M648,044,RSPv,,False
p20,M648,044,VISa,,False
p20,M648,044,VISal,,False
p20,M648,044,VISam,,False
p20,M648,044,VISl,,False
p20,M648,044,VISli,,False
p20,M648,044,VISp,,False
p20,M648,044,VISpm,,False
p20,M648,044,VISpor,,False
p20,M648,044,VISrl,,False
p20,M648,045,RSPd,,False
p20,M648,045,RSPv,,False
p20,M648,045,VISa,,False
p20,M648,045,VISal,,False
p20,M648,045,VISam,,False
p20,M648,045,VISl,,False
p20,M648,045,VISli,,False
p20,M648,045,VISp,,False
p20,M648,045,VISpm,,False
p20,M648,045,VISpor,,False
p20,M648,045,VISrl,,False
p20,M648,046,RSPd,,False
p20,M648,046,RSPv,,False
p20,M648,046,VISa,,False
p20,M648,046,VISal,,False
p20,M648,046,VISam,,False
p20,M648,046,VISl,,False
p20,M648,046,VISli,,False
p20,M648,046,VISp,,False
p20,M648,046,VISpm,,False
p20,M648,046,VISpor,,False
p20,M648,046,VISrl,,False
p20,M648,047,RSPd,,False
p20,M648,047,RSPv,,False
p20,M648,047,VISa,,False
p20,M648,047,VISal,,False
p20,M648,047,VISam,,False
p20,M648,047,VISl,,False
p20,M648,047,VISli,,False
p20,M648,047,VISp,,False
p20,M648,047,VISpm,,False
p20,M648,047,VISpor,,False
p20,M648,047,VISrl,,False
p20,M648,048,RSPd,,False
p20,M648,048,RSPv,,False
p20,M648,048,VISa,,False
p20,M648,048,VISal,,False
p20,M648,048,VISam,,False
p20,M648,048,VISl,,False
p20,M648,048,VISli,,False
p20,M648,048,VISp,,False
p20,M648,048,VISpm,,False
p20,M648,048,VISpor,,False
p20,M648,048,VISrl,,False
p20,M648,049,RSPd,,False
p20,M648,049,RSPv,,False
p20,M648,049,VISa,,False
p20,M648,049,VISal,,False
p20,M648,049,VISam,,False
p20,M648,049,VISl,,False
p20,M648,049,VISli,,False
p20,M648,049,VISp,,False
p20,M648,049,VISpm,,False
p20,M648,049,VISpor,,False
p20,M648,049,VISrl,,False
p20,M648,050,RSPd,0.0,True
p20,M648,050,RSPv,0.0,True
p20,M648,050,VISa,0.0,True
p20,M648,050,VISal,,False
p20,M648,050,VISam,,False
p20,M648,050,VISl,,False
p20,M648,050,VISli,,False
p20,M648,050,VISp,,False
p20,M648,050,VISpm,,False
p20,M648,050,VISpor,,False
p20,M648,050,VISrl,,False
p20,M648,051,RSPd,0.0,True
p20,M648,051,RSPv,0.0,True
p20,M648,051,VISa,0.0,True
p20,M648,051,VISal,,False
p20,M648,051,VISam,,False
p20,M648,051,VISl,,False
p20,M648,051,VISli,,False
p20,M648,051,VISp,,False
p20,M648,051,VISpm,,False
p20,M648,051,VISpor,,False
p20,M648,051,VISrl,,False
p20,M648,052,RSPd,0.0,True
p20,M648,052,RSPv,0.0,True
p20,M648,052,VISa,0.0,True
p20,M648,052,VISal,,False
p20,M648,052,VISam,,False
p20,M648,052,VISl,,False
p20,M648,052,VISli,,False
p20,M648,052,VISp,,False
p20,M648,052,VISpm,,False
p20,M648,052,VISpor,,False
p20,M648,052,VISrl,,False
p20,M648,053,RSPd,0.0,True
p20,M648,053,RSPv,0.0,True
p20,M648,053,VISa,0.0,True
p20,M648,053,VISal,,False
p20,M648,053,VISam,,False
p20,M648,053,VISl,,False
p20,M648,053,VISli,,False
p20,M648,053,VISp,,False
p20,M648,053,VISpm,,False
p20,M648,053,VISpor,,False
p20,M648,053,VISrl,,False
p20,M648,054,RSPd,0.0,True
p20,M648,054,RSPv,0.0,True
p20,M648,054,VISa,0.0,True
p20,M648,054,VISal,,False
p20,M648,054,VISam,,False
p20,M648,054,VISl,,False
p20,M648,054,VISli,,False
p20,M648,054,VISp,,False
p20,M648,054,VISpm,,False
p20,M648,054,VISpor,,False
p20,M648,054,VISrl,,False
p20,M648,055,RSPd,1.0,True
p20,M648,055,RSPv,0.0,True
p20,M648,055,VISa,4.0,True
p20,M648,055,VISal,,False
p20,M648,055,VISam,,False
p20,M648,055,VISl,,False
p20,M648,055,VISli,,False
p20,M648,055,VISp,,False
p20,M648,055,VISpm,,False
p20,M648,055,VISpor,,False
p20,M648,055,VISrl,,False
p20,M648,056,RSPd,2.0,True
p20,M648,056,RSPv,0.0,True
p20,M648,056,VISa,0.0,True
p20,M648,056,VISal,,False
p20,M648,056,VISam,1.0,True
p20,M648,056,VISl,,False
p20,M648,056,VISli,,False
p20,M648,056,VISp,,False
p20,M648,056,VISpm,,False
p20,M648,056,VISpor,,False
p20,M648,056,VISrl,0.0,True
p20,M648,057,RSPd,0.0,True
p20,M648,057,RSPv,0.0,True
p20,M648,057,VISa,5.0,True
p20,M648,057,VISal,,False
p20,M648,057,VISam,1.0,True
p20,M648,057,VISl,,False
p20,M648,057,VISli,,False
p20,M648,057,VISp,,False
p20,M648,057,VISpm,,False
p20,M648,057,VISpor,,False
p20,M648,057,VISrl,0.0,True
p20,M648,058,RSPd,1.0,True
p20,M648,058,RSPv,1.0,True
p20,M648,058,VISa,3.0,True
p20,M648,058,VISal,,False
p20,M648,058,VISam,3.0,True
p20,M648,058,VISl,,False
p20,M648,058,VISli,,False
p20,M648,058,VISp,,False
p20,M648,058,VISpm,,False
p20,M648,058,VISpor,,False
p20,M648,058,VISrl,0.0,True
p20,M648,059,RSPd,0.0,True
p20,M648,059,RSPv,0.0,True
p20,M648,059,VISa,0.0,True
p20,M648,059,VISal,,False
p20,M648,059,VISam,3.0,True
p20,M648,059,VISl,,False
p20,M648,059,VISli,,False
p20,M648,059,VISp,,False
p20,M648,059,VISpm,,False
p20,M648,059,VISpor,,False
p20,M648,059,VISrl,0.0,True
p20,M648,060,RSPd,0.0,True
p20,M648,060,RSPv,0.0,True
p20,M648,060,VISa,0.0,True
p20,M648,060,VISal,,False
p20,M648,060,VISam,1.0,True
p20,M648,060,VISl,,False
p20,M648,060,VISli,,False
p20,M648,060,VISp,,False
p20,M648,060,VISpm,,False
p20,M648,060,VISpor,,False
p20,M648,060,VISrl,0.0,True
p20,M648,061,RSPd,2.0,True
p20,M648,061,RSPv,0.0,True
p20,M648,061,VISa,0.0,True
p20,M648,061,VISal,,False
p20,M648,061,VISam,0.0,True
p20,M648,061,VISl,,False
p20,M648,061,VISli,,False
p20,M648,061,VISp,,False
p20,M648,061,VISpm,,False
p20,M648,061,VISpor,,False
p20,M648,061,VISrl,0.0,True
p20,M648,062,RSPd,1.0,True
p20,M648,062,RSPv,0.0,True
p20,M648,062,VISa,2.0,True
p20,M648,062,VISal,,False
p20,M648,062,VISam,2.0,True
p20,M648,062,VISl,,False
p20,M648,062,VISli,,False
p20,M648,062,VISp,,False
p20,M648,062,VISpm,,False
p20,M648,062,VISpor,,False
p20,M648,062,VISrl,0.0,True
p20,M648,063,RSPd,1.0,True
p20,M648,063,RSPv,0.0,True
p20,M648,063,VISa,0.0,True
p20,M648,063,VISal,,False
p20,M648,063,VISam,1.0,True
p20,M648,063,VISl,,False
p20,M648,063,VISli,,False
p20,M648,063,VISp,,False
p20,M648,063,VISpm,,False
p20,M648,063,VISpor,,False
p20,M648,063,VISrl,0.0,True
p20,M648,064,RSPd,2.0,True
p20,M648,064,RSPv,0.0,True
p20,M648,064,VISa,0.0,True
p20,M648,064,VISal,,False
p20,M648,064,VISam,1.0,True
p20,M648,064,VISl,,False
p20,M648,064,VISli,,False
p20,M648,064,VISp,,False
p20,M648,064,VISpm,,False
p20,M648,064,VISpor,,False
p20,M648,064,VISrl,0.0,True
p20,M648,065,RSPd,3.0,True
p20,M648,065,RSPv,0.0,True
p20,M648,065,VISa,0.0,True
p20,M648,065,VISal,,False
p20,M648,065,VISam,1.0,True
p20,M648,065,VISl,,False
p20,M648,065,VISli,,False
p20,M648,065,VISp,,False
p20,M648,065,VISpm,,False
p20,M648,065,VISpor,,False
p20,M648,065,VISrl,0.0,True
p20,M648,066,RSPd,1.0,True
p20,M648,066,RSPv,0.0,True
p20,M648,066,VISa,0.0,True
p20,M648,066,VISal,,False
p20,M648,066,VISam,0.0,True
p20,M648,066,VISl,,False
p20,M648,066,VISli,,False
p20,M648,066,VISp,,False
p20,M648,066,VISpm,,False
p20,M648,066,VISpor,,False
p20,M648,066,VISrl,0.0,True
p20,M648,067,RSPd,0.0,True
p20,M648,067,RSPv,0.0,True
p20,M648,067,VISa,0.0,True
p20,M648,067,VISal,,False
p20,M648,067,VISam,3.0,True
p20,M648,067,VISl,,False
p20,M648,067,VISli,,False
p20,M648,067,VISp,,False
p20,M648,067,VISpm,,False
p20,M648,067,VISpor,,False
p20,M648,067,VISrl,1.0,True
p20,M648,068,RSPd,0.0,True
p20,M648,068,RSPv,0.0,True
p20,M648,068,VISa,1.0,True
p20,M648,068,VISal,,False
p20,M648,068,VISam,12.0,True
p20,M648,068,VISl,,False
p20,M648,068,VISli,,False
p20,M648,068,VISp,,False
p20,M648,068,VISpm,,False
p20,M648,068,VISpor,,False
p20,M648,068,VISrl,0.0,True
p20,M648,069,RSPd,0.0,True
p20,M648,069,RSPv,0.0,True
p20,M648,069,VISa,,False
p20,M648,069,VISal,6.0,True
p20,M648,069,VISam,10.0,True
p20,M648,069,VISl,,False
p20,M648,069,VISli,,False
p20,M648,069,VISp,1.0,True
p20,M648,069,VISpm,,False
p20,M648,069,VISpor,,False
p20,M648,069,VISrl,5.0,True
p20,M648,070,RSPd,1.0,True
p20,M648,070,RSPv,1.0,True
p20,M648,070,VISa,,False
p20,M648,070,VISal,18.0,True
p20,M648,070,VISam,1.0,True
p20,M648,070,VISl,,False
p20,M648,070,VISli,,False
p20,M648,070,VISp,3.0,True
p20,M648,070,VISpm,27.0,True
p20,M648,070,VISpor,,False
p20,M648,070,VISrl,0.0,True
p20,M648,071,RSPd,0.0,True
p20,M648,071,RSPv,0.0,True
p20,M648,071,VISa,,False
p20,M648,071,VISal,9.0,True
p20,M648,071,VISam,1.0,True
p20,M648,071,VISl,,False
p20,M648,071,VISli,,False
p20,M648,071,VISp,16.0,True
p20,M648,071,VISpm,12.0,True
p20,M648,071,VISpor,,False
p20,M648,071,VISrl,0.0,True
p20,M648,072,RSPd,,False
p20,M648,072,RSPv,,False
p20,M648,072,VISa,,False
p20,M648,072,VISal,10.0,True
p20,M648,072,VISam,,False
p20,M648,072,VISl,,False
p20,M648,072,VISli,,False
p20,M648,072,VISp,,False
p20,M648,072,VISpm,,False
p20,M648,072,VISpor,,False
p20,M648,072,VISrl,,False
p20,M648,073,RSPd,0.0,True
p20,M648,073,RSPv,0.0,True
p20,M648,073,VISa,,False
p20,M648,073,VISal,1.0,True
p20,M648,073,VISam,,False
p20,M648,073,VISl,2.0,True
p20,M648,073,VISli,,False
p20,M648,073,VISp,24.0,True
p20,M648,073,VISpm,0.0,True
p20,M648,073,VISpor,,False
p20,M648,073,VISrl,,False
p20,M648,074,RSPd,3.0,True
p20,M648,074,RSPv,1.0,True
p20,M648,074,VISa,,False
p20,M648,074,VISal,0.0,True
p20,M648,074,VISam,,False
p20,M648,074,VISl,,False
p20,M648,074,VISli,,False
p20,M648,074,VISp,5.0,True
p20,M648,074,VISpm,10.0,True
p20,M648,074,VISpor,,False
p20,M648,074,VISrl,0.0,True
p20,M648,075,RSPd,1.0,True
p20,M648,075,RSPv,0.0,True
p20,M648,075,VISa,,False
p20,M648,075,VISal,6.0,True
p20,M648,075,VISam,,False
p20,M648,075,VISl,,False
p20,M648,075,VISli,,False
p20,M648,075,VISp,32.0,True
p20,M648,075,VISpm,0.0,True
p20,M648,075,VISpor,,False
p20,M648,075,VISrl,,False
p20,M648,076,RSPd,2.0,True
p20,M648,076,RSPv,0.0,True
p20,M648,076,VISa,,False
p20,M648,076,VISal,15.0,True
p20,M648,076,VISam,,False
p20,M648,076,VISl,,False
p20,M648,076,VISli,,False
p20,M648,076,VISp,24.0,True
p20,M648,076,VISpm,,False
p20,M648,076,VISpor,,False
p20,M648,076,VISrl,3.0,True
p20,M648,077,RSPd,1.0,True
p20,M648,077,RSPv,0.0,True
p20,M648,077,VISa,,False
p20,M648,077,VISal,6.0,True
p20,M648,077,VISam,0.0,True
p20,M648,077,VISl,,False
p20,M648,077,VISli,,False
p20,M648,077,VISp,14.0,True
p20,M648,077,VISpm,0.0,True
p20,M648,077,VISpor,,False
p20,M648,077,VISrl,6.0,True
p20,M648,078,RSPd,0.0,True
p20,M648,078,RSPv,0.0,True
p20,M648,078,VISa,,False
p20,M648,078,VISal,6.0,True
p20,M648,078,VISam,,False
p20,M648,078,VISl,,False
p20,M648,078,VISli,,False
p20,M648,078,VISp,11.0,True
p20,M648,078,VISpm,2.0,True
p20,M648,078,VISpor,,False
p20,M648,078,VISrl,0.0,True
p20,M648,079,RSPd,2.0,True
p20,M648,079,RSPv,0.0,True
p20,M648,079,VISa,,False
p20,M648,079,VISal,0.0,True
p20,M648,079,VISam,,False
p20,M648,079,VISl,26.0,True
p20,M648,079,VISli,5.0,True
p20,M648,079,VISp,77.0,True
p20,M648,079,VISpm,1.0,True
p20,M648,079,VISpor,,False
p20,M648,079,VISrl,,False
p20,M648,080,RSPd,,False
p20,M648,080,RSPv,,False
