age,identifier,region,image_filename,raw_intensity_sum,total_image_pixels,tissue_area_pixels
adult,M609,VISl,M609_s048_VISl.tif,80613616,2408000,1335600
adult,M609,VISl,M609_s050_VISl.tif,24211638,2664000,1256000
adult,M609,VISli,M609_s033_VISli.tif,8005010,1988000,888800
adult,M609,VISli,M609_s040_VISli.tif,23514399,1591680,619720
adult,M609,VISli,M609_s046_VISli.tif,17900380,1579860,602040
adult,M609,VISli,M609_s047_VISli.tif,25684240,956840,465040
adult,M609,VISli,M609_s048_VISli.tif,40993747,1786400,767600
adult,M609,VISli,M609_s050_VISli.tif,11524661,1732400,627600
adult,M609,VISli,M609_s051_VISli.tif,34091900,896720,406020
adult,M609,VISli,M609_s052_VISli.tif,36796531,814740,421720
adult,M609,VISli,M609_s053_VISli.tif,45009364,636000,355600
adult,M609,VISp,M609_s007_VISp.tif,32270059,4696260,3844320
adult,M609,VISp,M609_s008_VISp.tif,30438451,5679480,3976480
adult,M609,VISp,M609_s009_VISp.tif,98531910,6425800,4572920
adult,M609,VISp,M609_s010_VISp.tif,46270182,7356840,5085515
adult,M609,VISp,M609_s011_VISp.tif,141619697,9284100,6793820
adult,M609,VISp,M609_s012_VISp.tif,80041199,9500440,6468660
adult,M609,VISp,M609_s013_VISp.tif,116579353,8811560,5384820
adult,M609,VISp,M609_s014_VISp.tif,121844917,9422420,6552040
adult,M609,VISp,M609_s015_VISp.tif,55293172,4081700,2867580
adult,M609,VISp,M609_s017_VISp.tif,77435069,8547120,5968760
adult,M609,VISp,M609_s018_VISp.tif,43986679,7332120,4619220
adult,M609,VISp,M609_s019_VISp.tif,124965953,8896560,4647520
adult,M609,VISp,M609_s020_VISp.tif,119797223,10301680,5684860
adult,M609,VISp,M609_s021_VISp.tif,100057882,10534680,6056780
adult,M609,VISp,M609_s022_VISp.tif,128674029,9297640,5614320
adult,M609,VISp,M609_s023_VISp.tif,115512383,10873200,5618640
adult,M609,VISp,M609_s024_VISp.tif,84305667,9465120,5869920
adult,M609,VISp,M609_s025_VISp.tif,96058168,11193840,5942780
adult,M609,VISp,M609_s026_VISp.tif,114384839,11861920,6295580
adult,M609,VISp,M609_s027_VISp.tif,72509762,11644320,5863420
adult,M609,VISp,M609_s028_VISp.tif,81121388,13157480,6723200
adult,M609,VISp,M609_s029_VISp.tif,89573491,10870200,6454480
adult,M609,VISp,M609_s030_VISp.tif,101336706,13213200,6672540
adult,M609,VISp,M609_s031_VISp.tif,82674429,14585340,7834284
adult,M609,VISp,M609_s032_VISp.tif,56676452,14402880,7197960
adult,M609,VISp,M609_s033_VISp.tif,66113413,11163820,5592220
adult,M609,VISp,M609_s034_VISp.tif,91912136,19282720,7276960
adult,M609,VISp,M609_s035_VISp.tif,76999370,11584680,5486180
adult,M609,VISp,M609_s036_VISp.tif,189171298,11066860,5160720
adult,M609,VISp,M609_s037_VISp.tif,402239542,13175000,5521460
adult,M609,VISp,M609_s038_VISp.tif,151493274,14290360,6034020
adult,M609,VISp,M609_s039_VISp.tif,112993682,11557080,5577880
adult,M609,VISp,M609_s040_VISp.tif,170060138,7815580,3686260
adult,M609,VISp,M609_s041_VISp.tif,636478794,16624300,6697540
adult,M609,VISp,M609_s042_VISp.tif,463943989,9507520,4392600
adult,M609,VISp,M609_s043_VISp.tif,69217900,10789160,5763280
adult,M609,VISp,M609_s044_VISp.tif,139501590,14339900,5887640
adult,M609,VISp,M609_s045_VISp.tif,74701291,10548480,4488820
adult,M609,VISp,M609_s046_VISp.tif,123584744,7860060,4116060
adult,M609,VISp,M609_s047_VISp.tif,286531842,12262800,4771060
adult,M609,VISp,M609_s048_VISp.tif,339579771,10713600,6242800
adult,M609,VISp,M609_s049_VISp.tif,351527021,8468817,3761198
adult,M609,VISp,M609_s050_VISp.tif,126569467,13821120,6595140
adult,M609,VISp,M609_s051_VISp.tif,325123650,9020440,3593700
adult,M609,VISp,M609_s052_VISp.tif,366739857,8882640,4325760
adult,M609,VISp,M609_s053_VISp.tif,429504569,7925280,3987560
adult,M609,VISp,M609_s055_VISp.tif,306969483,8187762,3576121
adult,M609,VISp,M609_s056_VISp.tif,307878965,5928342,2754642
adult,M609,VISp,M609_s057_VISp.tif,349682579,6302662,2899340
adult,M609,VISp,M609_s058_VISp.tif,301833456,6302621,2518141
adult,M609,VISpm,M609_s010_VISpm.tif,4271358,2557940,999043
adult,M609,VISpm,M609_s011_VISpm.tif,2089367,1036000,579200
adult,M609,VISpm,M609_s012_VISpm.tif,9265634,1483620,1057680
adult,M609,VISpm,M609_s013_VISpm.tif,8992336,1976000,1356800
adult,M609,VISpm,M609_s020_VISpm.tif,3469118,1278400,726000
adult,M609,VISrl,M609_s001_VISrl.tif,22647287,1902240,715180
adult,M609,VISrl,M609_s007_VISrl.tif,7519047,2308460,1053540
adult,M610,RSPagl,M610_s001_RSPagl.tif,7262886,1187160,910840
adult,M610,RSPagl,M610_s002_RSPagl.tif,8860909,1279200,952000
adult,M610,RSPagl,M610_s003_RSPagl.tif,12559963,1111060,854060
adult,M610,RSPagl,M610_s004_RSPagl.tif,15732142,1192800,832800
adult,M610,RSPagl,M610_s005_RSPagl.tif,19982463,1092000,810800
adult,M610,RSPagl,M610_s006_RSPagl.tif,15382005,1793600,1093480
adult,M610,RSPagl,M610_s007_RSPagl.tif,9813595,1654020,1099580
adult,M610,RSPagl,M610_s008_RSPagl.tif,20220038,1184000,868000
adult,M610,RSPagl,M610_s009_RSPagl.tif,19973606,1663200,1088000
adult,M610,RSPagl,M610_s010_RSPagl.tif,15177620,1643200,1064400
adult,M610,RSPagl,M610_s011_RSPagl.tif,12532469,1279200,988400
adult,M610,RSPagl,M610_s012_RSPagl.tif,13442628,1170000,888400
adult,M610,RSPagl,M610_s013_RSPagl.tif,8866978,1652400,1106800
adult,M610,RSPagl,M610_s014_RSPagl.tif,8332496,1312000,893200
adult,M610,RSPagl,M610_s016_RSPagl.tif,18223498,1263260,961480
adult,M610,RSPagl,M610_s017_RSPagl.tif,13943036,1065600,917200
