age,identifier,region,image_filename,raw_intensity_sum,masked_gauss_intensity_sum,total_image_pixels,tissue_area_pixels
adult,M609,VISp,M609_s030_VISp.tif,101336706,8896327.839529786,13213200,6672540
adult,M609,VISp,M609_s031_VISp.tif,82674429,6509106.437004217,14585340,7834284
adult,M609,VISp,M609_s032_VISp.tif,56676452,4803663.004422249,14402880,7197960
adult,M609,VISp,M609_s033_VISp.tif,66113413,6121648.56233846,11163820,5592220
adult,M609,VISp,M609_s034_VISp.tif,91912136,4180520.8036943437,19282720,7276960
adult,M609,VISp,M609_s035_VISp.tif,76999370,3692033.8784939256,11584680,5486180
adult,M609,VISp,M609_s036_VISp.tif,189171298,4900363.006166753,11066860,5160720
adult,M609,VISp,M609_s037_VISp.tif,402239542,10897732.789342044,13175000,5521460
adult,M609,VISp,M609_s038_VISp.tif,151493274,3946714.132998353,14290360,6034020
adult,M609,VISp,M609_s039_VISp.tif,112993682,4474609.0982515635,11557080,5577880
adult,M609,VISp,M609_s040_VISp.tif,170060138,3572976.301434928,7815580,3686260
adult,M609,VISp,M609_s041_VISp.tif,636478794,14567728.747152304,16624300,6697540
adult,M609,VISp,M609_s042_VISp.tif,463943989,10928327.05327702,9507520,4392600
adult,M609,VISp,M609_s043_VISp.tif,69217900,2909141.8426902057,10789160,5763280
adult,M609,VISp,M609_s044_VISp.tif,139501590,3846148.1303987806,14339900,5887640
adult,M609,VISp,M609_s045_VISp.tif,74701291,2249020.79866044,10548480,4488820
adult,M609,VISp,M609_s046_VISp.tif,123584744,4223784.700803841,7860060,4116060
adult,M609,VISp,M609_s047_VISp.tif,286531842,9315017.718270168,12262800,4771060
adult,M609,VISp,M609_s048_VISp.tif,339579771,9252124.568043595,10713600,6242800
adult,M609,VISp,M609_s049_VISp.tif,351527021,9232651.602000955,8468817,3761198
adult,M609,VISp,M609_s050_VISp.tif,126569467,4169411.4956450015,13821120,6595140
adult,M609,VISp,M609_s051_VISp.tif,325123650,10170836.796120912,9020440,3593700
adult,M609,VISp,M609_s052_VISp.tif,366739857,7863390.267353128,8882640,4325760
adult,M609,VISp,M609_s053_VISp.tif,429504569,11329474.965551326,7925280,3987560
adult,M609,VISp,M609_s055_VISp.tif,306969483,13156826.074969484,8187762,3576121
adult,M609,VISp,M609_s056_VISp.tif,307878965,8075769.116818232,5928342,2754642
adult,M609,VISp,M609_s057_VISp.tif,349682579,9230372.868088897,6302662,2899340
adult,M609,VISp,M609_s058_VISp.tif,301833456,8234029.287668235,6302621,2518141
adult,M609,VISpm,M609_s010_VISpm.tif,4271358,198494.17335043885,2557940,999043
adult,M609,VISpm,M609_s011_VISpm.tif,2089367,123593.88876701923,1036000,579200
adult,M609,VISpm,M609_s012_VISpm.tif,9265634,323038.96186975815,1483620,1057680
adult,M609,VISpm,M609_s013_VISpm.tif,8992336,283312.6349470886,1976000,1356800
adult,M609,VISpm,M609_s020_VISpm.tif,3469118,116854.9321338122,1278400,726000
adult,M609,VISrl,M609_s001_VISrl.tif,22647287,506878.71969704103,1902240,715180
adult,M609,VISrl,M609_s007_VISrl.tif,7519047,282977.1563002986,2308460,1053540
adult,M610,RSPagl,M610_s001_RSPagl.tif,7262886,198010.37640314366,1187160,910840
adult,M610,RSPagl,M610_s002_RSPagl.tif,8860909,230811.0300286142,1279200,952000
adult,M610,RSPagl,M610_s003_RSPagl.tif,12559963,293532.8010314532,1111060,854060
adult,M610,RSPagl,M610_s004_RSPagl.tif,15732142,329863.41483569174,1192800,832800
adult,M610,RSPagl,M610_s005_RSPagl.tif,19982463,404222.25562825735,1092000,810800
adult,M610,RSPagl,M610_s006_RSPagl.tif,15382005,362296.36919442937,1793600,1093480
adult,M610,RSPagl,M610_s007_RSPagl.tif,9813595,275607.6096406642,1654020,1099580
