age,identifier,region,image_filename,raw_intensity_sum,masked_mean_intensity_sum,total_image_pixels,tissue_area_pixels
adult,M608,VISpm,M608_s057_VISpm.tif,4107764,146519.33200877308,269440,150120
adult,M608,VISpm,M608_s058_VISpm.tif,6726403,281705.6575417466,224000,135200
adult,M608,VISpm,M608_s059_VISpm.tif,14250263,299627.84043539834,367200,176000
adult,M608,VISpm,M608_s060_VISpm.tif,4625083,114031.79657122117,328000,188400
adult,M608,VISpm,M608_s061_VISpm.tif,3472974,70460.47377694833,197200,109200
adult,M608,VISpm,M608_s062_VISpm.tif,12736507,348414.2605002854,384000,188400
adult,M608,VISpm,M608_s063_VISpm.tif,2247093,81830.6469496179,368000,220800
adult,M608,VISpm,M608_s064_VISpm.tif,2282616,132914.65992659985,57600,28000
adult,M608,VISpm,M608_s065_VISpm.tif,725731,44478.43837491631,42000,23200
adult,M608,VISpm,M608_s066_VISpm.tif,707739,20104.120098331903,56000,34800
adult,M608,VISpm,M608_s067_VISpm.tif,486777,22527.82779293846,76480,22700
adult,M608,VISpm,M608_s068_VISpm.tif,585315,44622.006414459116,33600,19600
adult,M608,VISpm,M608_s069_VISpm.tif,76231,1048.8918189003657,1200,1200
adult,M608,VISpor,M608_s049_VISpor.tif,173673,14592.146404569652,212800,76000
adult,M608,VISpor,M608_s050_VISpor.tif,754031,56238.072477005415,719200,330800
adult,M608,VISpor,M608_s051_VISpor.tif,2789371,32154.09148777453,1992800,937200
adult,M608,VISpor,M608_s052_VISpor.tif,9912550,253236.48224995978,3120000,1439200
adult,M608,VISpor,M608_s053_VISpor.tif,15434746,368311.45293369435,2642200,1284660
adult,M608,VISpor,M608_s054_VISpor.tif,19080662,474993.02790677344,3973920,1808460
adult,M608,VISpor,M608_s055_VISpor.tif,3301006,820.5519473430759,3732120,1650820
adult,M608,VISpor,M608_s056_VISpor.tif,25181667,615991.198896032,4253620,2036540
adult,M608,VISpor,M608_s057_VISpor.tif,19892244,448061.40297395515,3942400,1828800
adult,M608,VISpor,M608_s058_VISpor.tif,260830908,5237608.702763863,6363000,2986340
adult,M608,VISpor,M608_s059_VISpor.tif,183840468,3685211.367620892,6198560,2775880
adult,M608,VISpor,M608_s060_VISpor.tif,46374793,958152.9793079539,4350000,2140000
adult,M608,VISpor,M608_s061_VISpor.tif,70567611,1418869.8024408568,5684280,2805960
adult,M608,VISpor,M608_s062_VISpor.tif,73258456,1506700.2902839798,3791020,2416160
adult,M608,VISpor,M608_s063_VISpor.tif,10676849,198688.2100849965,3302400,1512800
adult,M608,VISpor,M608_s064_VISpor.tif,150495576,3784964.8075611,4982120,2925480
adult,M608,VISpor,M608_s065_VISpor.tif,77824582,1868700.139036426,5792360,2514260
adult,M608,VISpor,M608_s066_VISpor.tif,40460663,1021663.3352260343,4018920,2459640
adult,M608,VISpor,M608_s067_VISpor.tif,37598467,796110.9805639648,2339160,1634900
adult,M608,VISpor,M608_s068_VISpor.tif,91011930,2367459.3518159925,4942280,2990380
adult,M608,VISpor,M608_s069_VISpor.tif,140625166,3389255.871056826,3773580,2539600
adult,M608,VISpor,M608_s070_VISpor.tif,82122908,1918256.670724145,3975092,2326961
adult,M608,VISpor,M608_s071_VISpor.tif,28347470,745479.1521068593,2690100,1440220
adult,M608,VISpor,M608_s072_VISpor.tif,81001185,2352199.650012142,1634040,818500
adult,M608,VISrl,M608_s014_VISrl.tif,35123,2308.2993507448114,6400,3600
adult,M608,VISrl,M608_s015_VISrl.tif,567483,78708.17661653123,204000,64000
adult,M608,VISrl,M608_s016_VISrl.tif,4486345,660050.8914687261,1475340,295300
adult,M608,VISrl,M608_s017_VISrl.tif,831465,64069.85354421701,336000,97200
adult,M608,VISrl,M608_s018_VISrl.tif,6231992,854516.6672886662,1224000,424800
adult,M608,VISrl,M608_s019_VISrl.tif,10177821,1370634.3107159126,1721340,665080
adult,M608,VISrl,M608_s020_VISrl.tif,12131773,1467224.7046813557,2158000,1034000
adult,M608,VISrl,M608_s021_VISrl.tif,20773782,2749258.0362273883,2521500,1380500
adult,M608,VISrl,M608_s022_VISrl.tif,19420593,2680846.105402112,2582480,1550900
adult,M608,VISrl,M608_s023_VISrl.tif,29201584,3505985.921164303,3490580,2280620
adult,M608,VISrl,M608_s024_VISrl.tif,27111283,2946141.4318154035,3952460,2373180
adult,M608,VISrl,M608_s025_VISrl.tif,24568470,2508558.5783732366,4529940,2427780
adult,M608,VISrl,M608_s027_VISrl.tif,17246265,2445264.3287096913,3249400,1731240
adult,M608,VISrl,M608_s028_VISrl.tif,34796515,3355333.318134238,2715180,1724360
adult,M608,VISrl,M608_s029_VISrl.tif,30907398,3532334.7836020393,4232000,2284000
adult,M608,VISrl,M608_s030_VISrl.tif,26917384,3144281.114347554,3240240,2163300
adult,M608,VISrl,M608_s031_VISrl.tif,28677475,3185078.5482034,3530800,2096800
adult,M608,VISrl,M608_s032_VISrl.tif,25903457,2936113.782639857,2923780,1582700
adult,M608,VISrl,M608_s033_VISrl.tif,29969265,3551426.8571923077,4748920,2626840
adult,M608,VISrl,M608_s034_VISrl.tif,23622664,2616602.156265963,3881940,2248880
adult,M608,VISrl,M608_s035_VISrl.tif,27685703,2870335.755383375,4278780,2595240
adult,M608,VISrl,M608_s037_VISrl.tif,5597030,754952.4241078339,1279760,511220
adult,M609,RSPagl,M609_s037_RSPagl.tif,58295278,1509445.5875708866,3835200,977840
adult,M609,RSPagl,M609_s043_RSPagl.tif,8054051,220993.86552720386,1176000,536400
adult,M609,RSPagl,M609_s048_RSPagl.tif,31239097,746059.1042759478,2741200,659600
adult,M609,RSPd,M609_s046_RSPd.tif,26981999,863836.838986971,3806400,1162800
adult,M609,VISa,M609_s001_VISa.tif,97148847,2053355.199910351,4702760,3211880
adult,M609,VISa,M609_s004_VISa.tif,41319033,935689.0977026467,4458080,3594120
adult,M609,VISa,M609_s005_VISa.tif,36900937,581803.0382831524,1715200,1420800
adult,M609,VISal,M609_s010_VISal.tif,8092110,230219.22844160718,3182400,1679386
adult,M609,VISal,M609_s018_VISal.tif,14642073,474883.7507931538,4218060,2157900
adult,M609,VISal,M609_s025_VISal.tif,8546053,302502.6800796155,3887720,2006920
adult,M609,VISam,M609_s001_VISam.tif,32311851,713979.9589158938,1510740,1061900
adult,M609,VISam,M609_s006_VISam.tif,14075162,446102.7933346171,1154400,662000
adult,M609,VISam,M609_s007_VISam.tif,15086132,426473.93822824094,2558400,1886200
adult,M609,VISam,M609_s008_VISam.tif,8364257,235128.82326898124,2268000,1129600
adult,M609,VISam,M609_s009_VISam.tif,21929970,405629.6005475619,1672000,1024000
adult,M609,VISam,M609_s015_VISam.tif,36740204,711245.8425463891,2851500,1955040
adult,M609,VISl,M609_s019_VISl.tif,4523449,189636.02846689345,2007920,1080460
adult,M609,VISl,M609_s020_VISl.tif,8943651,340735.14128939953,3366000,1830400
adult,M609,VISl,M609_s021_VISl.tif,7603100,210385.6134994583,3040000,1632400
adult,M609,VISl,M609_s027_VISl.tif,16796294,393398.5077079548,3061700,1518020
adult,M609,VISl,M609_s028_VISl.tif,16367415,423137.8881930546,4249800,2065940
adult,M609,VISl,M609_s029_VISl.tif,8995947,301683.7291989493,3163120,1596960
adult,M609,VISl,M609_s031_VISl.tif,10894486,343542.74844409927,3904840,1906556
adult,M609,VISl,M609_s032_VISl.tif,9907396,302226.0019494682,3540780,1782860
adult,M609,VISl,M609_s033_VISl.tif,13466778,363788.1814073257,3457800,1754540
adult,M609,VISl,M609_s034_VISl.tif,15265945,354020.650307283,2455580,1197280
adult,M609,VISl,M609_s035_VISl.tif,21986001,439303.8883098622,2887300,1429860
adult,M609,VISl,M609_s036_VISl.tif,67254117,1558357.3263891393,3616000,1738400
adult,M609,VISl,M609_s037_VISl.tif,79354177,2017864.6224097775,2545400,1194520
adult,M609,VISl,M609_s038_VISl.tif,34910546,745659.8490680177,2862860,1307100
adult,M609,VISl,M609_s039_VISl.tif,29295082,591854.0928367715,2869020,1425120
adult,M609,VISl,M609_s040_VISl.tif,42232399,890871.3980933321,2341080,1094920
adult,M609,VISl,M609_s043_VISl.tif,15416071,434173.19178091513,3149640,1614740
adult,M609,VISl,M609_s046_VISl.tif,40097927,1009111.5717398821,2395980,1214840
adult,M609,VISl,M609_s047_VISl.tif,54669479,1478216.8031829908,1866240,961600
adult,M609,VISl,M609_s048_VISl.tif,80613616,1938806.9584795942,2408000,1335600
adult,M609,VISl,M609_s050_VISl.tif,24211638,578643.6383212731,2664000,1256000
adult,M609,VISli,M609_s033_VISli.tif,8005010,201499.0818894989,1988000,888800
adult,M609,VISli,M609_s040_VISli.tif,23514399,481635.22526685207,1591680,619720
adult,M609,VISli,M609_s046_VISli.tif,17900380,490404.8086333937,1579860,602040
adult,M609,VISli,M609_s047_VISli.tif,25684240,686626.7447907092,956840,465040
adult,M609,VISli,M609_s048_VISli.tif,40993747,867758.4455954186,1786400,767600
adult,M609,VISli,M609_s050_VISli.tif,11524661,245023.52398537323,1732400,627600
adult,M609,VISli,M609_s051_VISli.tif,34091900,1157012.137871575,896720,406020
adult,M609,VISli,M609_s052_VISli.tif,36796531,923377.3693964224,814740,421720
