age,identifier,region,image_filename,raw_intensity_sum,masked_median_intensity_sum,total_image_pixels,tissue_area_pixels
adult,M609,VISli,M609_s040_VISli.tif,23514399,513075.0,1591680,619720
adult,M609,VISli,M609_s046_VISli.tif,17900380,405909.0,1579860,602040
adult,M609,VISli,M609_s047_VISli.tif,25684240,563742.0,956840,465040
adult,M609,VISli,M609_s048_VISli.tif,40993747,739417.0,1786400,767600
adult,M609,VISli,M609_s050_VISli.tif,11524661,219728.0,1732400,627600
adult,M609,VISli,M609_s051_VISli.tif,34091900,866285.0,896720,406020
adult,M609,VISli,M609_s052_VISli.tif,36796531,758546.0,814740,421720
adult,M609,VISli,M609_s053_VISli.tif,45009364,856490.0,636000,355600
adult,M609,VISp,M609_s007_VISp.tif,32270059,2227999.0,4696260,3844320
adult,M609,VISp,M609_s008_VISp.tif,30438451,2309416.0,5679480,3976480
adult,M609,VISp,M609_s009_VISp.tif,98531910,2114925.0,6425800,4572920
adult,M609,VISp,M609_s010_VISp.tif,46270182,5049421.0,7356840,5085515
adult,M609,VISp,M609_s011_VISp.tif,141619697,14434932.0,9284100,6793820
adult,M609,VISp,M609_s012_VISp.tif,80041199,6224258.0,9500440,6468660
adult,M609,VISp,M609_s013_VISp.tif,116579353,12609860.0,8811560,5384820
adult,M609,VISp,M609_s014_VISp.tif,121844917,12599214.0,9422420,6552040
adult,M609,VISp,M609_s015_VISp.tif,55293172,1047307.0,4081700,2867580
adult,M609,VISp,M609_s017_VISp.tif,77435069,8355214.0,8547120,5968760
adult,M609,VISp,M609_s018_VISp.tif,43986679,4359550.0,7332120,4619220
adult,M609,VISp,M609_s019_VISp.tif,124965953,11493228.0,8896560,4647520
adult,M609,VISp,M609_s020_VISp.tif,119797223,11471803.0,10301680,5684860
adult,M609,VISp,M609_s021_VISp.tif,100057882,8623559.0,10534680,6056780
adult,M609,VISp,M609_s022_VISp.tif,128674029,12618437.0,9297640,5614320
adult,M609,VISp,M609_s023_VISp.tif,115512383,11504839.0,10873200,5618640
adult,M609,VISp,M609_s024_VISp.tif,84305667,8106461.0,9465120,5869920
adult,M609,VISp,M609_s025_VISp.tif,96058168,10100156.0,11193840,5942780
adult,M609,VISp,M609_s026_VISp.tif,114384839,11977109.0,11861920,6295580
adult,M609,VISp,M609_s027_VISp.tif,72509762,4037561.0,11644320,5863420
