age,identifier,region,image_filename,raw_intensity_sum,dist_weighted_intensity_sum,total_image_pixels,tissue_area_pixels
adult,M608,VISrl,M608_s014_VISrl.tif,35123,13143.630308377902,6400,3600
adult,M608,VISrl,M608_s015_VISrl.tif,567483,214439.26035555155,204000,64000
adult,M608,VISrl,M608_s016_VISrl.tif,4486345,1689644.9476490798,1475340,295300
adult,M608,VISrl,M608_s017_VISrl.tif,831465,296127.3396695837,336000,97200
adult,M608,VISrl,M608_s018_VISrl.tif,6231992,2256910.1812465945,1224000,424800
adult,M608,VISrl,M608_s019_VISrl.tif,10177821,3533196.941865295,1721340,665080
adult,M608,VISrl,M608_s020_VISrl.tif,12131773,3999745.144888094,2158000,1034000
adult,M608,VISrl,M608_s021_VISrl.tif,20773782,7213799.003745647,2521500,1380500
adult,M608,VISrl,M608_s022_VISrl.tif,19420593,6431109.044757333,2582480,1550900
adult,M608,VISrl,M608_s023_VISrl.tif,29201584,10085638.795034999,3490580,2280620
adult,M608,VISrl,M608_s024_VISrl.tif,27111283,9118435.203809727,3952460,2373180
adult,M608,VISrl,M608_s025_VISrl.tif,24568470,8070487.478738598,4529940,2427780
adult,M608,VISrl,M608_s027_VISrl.tif,17246265,5807414.249851164,3249400,1731240
adult,M608,VISrl,M608_s028_VISrl.tif,34796515,11380004.538065668,2715180,1724360
adult,M608,VISrl,M608_s029_VISrl.tif,30907398,10486631.225946778,4232000,2284000
adult,M608,VISrl,M608_s030_VISrl.tif,26917384,8839516.718513358,3240240,2163300
adult,M608,VISrl,M608_s031_VISrl.tif,28677475,9882840.706827328,3530800,2096800
adult,M608,VISrl,M608_s032_VISrl.tif,25903457,8995215.794363422,2923780,1582700
adult,M608,VISrl,M608_s033_VISrl.tif,29969265,9994230.260769581,4748920,2626840
adult,M608,VISrl,M608_s034_VISrl.tif,23622664,7944816.989247634,3881940,2248880
adult,M608,VISrl,M608_s035_VISrl.tif,27685703,9182919.664475163,4278780,2595240
adult,M608,VISrl,M608_s037_VISrl.tif,5597030,1872177.89411721,1279760,511220
adult,M609,RSPagl,M609_s037_RSPagl.tif,58295278,20855576.677061703,3835200,977840
adult,M609,RSPagl,M609_s043_RSPagl.tif,8054051,2764723.41315868,1176000,536400
adult,M609,RSPagl,M609_s048_RSPagl.tif,31239097,11105272.199310046,2741200,659600
adult,M609,RSPd,M609_s046_RSPd.tif,26981999,9323604.535510378,3806400,1162800
adult,M609,VISa,M609_s001_VISa.tif,97148847,29283280.014612835,4702760,3211880
adult,M609,VISa,M609_s004_VISa.tif,41319033,12791100.89646156,4458080,3594120
adult,M609,VISa,M609_s005_VISa.tif,36900937,12152354.17196581,1715200,1420800
adult,M609,VISal,M609_s010_VISal.tif,8092110,2676231.2584060524,3182400,1679386
adult,M609,VISal,M609_s018_VISal.tif,14642073,5083205.49011229,4218060,2157900
adult,M609,VISal,M609_s025_VISal.tif,8546053,2843305.0294156307,3887720,2006920
adult,M609,VISam,M609_s001_VISam.tif,32311851,10148478.988676239,1510740,1061900
adult,M609,VISam,M609_s006_VISam.tif,14075162,4756402.612396115,1154400,662000
