age,identifier,region,image_count,raw_intensity_sum,masked_mean_intensity_sum,total_image_pixels,tissue_area_pixels
p60,M762,VISa,11,308864264,7181921.325561929,23053560,13409660
p60,M762,VISal,13,218359755,10452803.57601428,26123860,12815340
p60,M762,VISam,13,204082578,8068405.054410263,14706660,10167820
p60,M762,VISl,16,340740228,13087127.705142887,35184720,18715760
p60,M762,VISli,12,150708996,8196639.146383337,16393840,7908940
p60,M762,VISp,29,2946589813,160092880.648571,274497660,142466181
p60,M762,VISpl,7,157517525,2613296.363782581,19128658,6685132
p60,M762,VISpm,20,237471162,12925760.574879915,24314380,11662540
p60,M762,VISpor,13,311416674,7662442.028318699,30508980,16645280
p60,M762,VISrl,17,534137695,31190419.209955733,55570480,29664600
p60,M763,RSPagl,45,962996001,24711771.52321494,142931823,50271361
p60,M763,RSPd,45,1813075922,43481253.830230996,223329761,89149161
p60,M763,RSPv,39,1636515817,29651203.53274709,151483477,74684918
p60,M763,VISa,13,407181955,7224577.14837469,36530940,20709600
p60,M763,VISal,5,81749157,2546902.092079419,8124680,4248600
p60,M763,VISam,11,157939570,6913021.060102231,12158660,8146000
p60,M763,VISl,21,640109384,29963907.567951873,64821979,32699539
p60,M763,VISli,18,286583928,12710613.47511598,34206997,15539759
p60,M763,VISp,28,3330490799,150045843.09462127,360795704,170906661
p60,M763,VISpl,7,224915456,7105380.677714911,28825821,10474080
p60,M763,VISpm,22,223858007,9703375.276327752,22373140,12286840
p60,M763,VISpor,18,459534934,19513700.468170516,52337017,25593098
p60,M763,VISrl,11,209235420,5042432.695134782,23449540,11606560
p60,M773,RSPagl,27,539330805,11494028.31783166,53643073,22536139
p60,M773,RSPd,26,1001229671,22429767.95316371,89127573,40944139
p60,M773,RSPv,22,1075131696,19599477.911536567,79968280,47602680
p60,M773,VISa,8,259167492,4841321.766428769,21787860,11453260
p60,M773,VISal,5,99015001,5163703.136724507,9179100,4461520
p60,M773,VISam,10,157685941,6359436.925978503,15371280,7620980
p60,M773,VISl,10,181961242,6257892.71541683,20488658,9395580
p60,M773,VISli,8,76950022,3823709.2863033884,9328980,3891000
p60,M773,VISp,20,1500144298,67446280.93250538,125882265,65610174
p60,M773,VISpl,5,151968061,4113304.0452702,12994278,5772360
