age,identifier,region,image_filename,raw_intensity_sum,total_image_pixels,tissue_area_pixels
p12,M678,VISl,M678_s086_VISl.tif,169628,96000,11600
p12,M678,VISli,M678_s076_VISli.tif,6681390,747320,314420
p12,M678,VISli,M678_s077_VISli.tif,27548864,2441201,858941
p12,M678,VISli,M678_s078_VISli.tif,25368080,1788800,716000
p12,M678,VISli,M678_s079_VISli.tif,20090,7920,1180
p12,M678,VISli,M678_s080_VISli.tif,19306368,2272000,846000
p12,M678,VISli,M678_s082_VISli.tif,12221887,1830279,740519
p12,M678,VISli,M678_s083_VISli.tif,30602040,1894400,821200
p12,M678,VISli,M678_s084_VISli.tif,14241650,2013161,882560
p12,M678,VISli,M678_s085_VISli.tif,277596,1249740,13200
p12,M678,VISli,M678_s086_VISli.tif,13684363,2462499,557060
p12,M678,VISp,M678_s064_VISp.tif,49981608,3345900,2404620
p12,M678,VISp,M678_s065_VISp.tif,22175036,1625820,1037960
p12,M678,VISp,M678_s066_VISp.tif,34434024,1984080,1129180
p12,M678,VISp,M678_s067_VISp.tif,43903453,2160000,1420000
p12,M678,VISp,M678_s068_VISp.tif,62556195,3008000,2094800
p12,M678,VISp,M678_s069_VISp.tif,130506411,3835200,2718800
p12,M678,VISp,M678_s070_VISp.tif,92351979,4754160,3089580
p12,M678,VISp,M678_s071_VISp.tif,192631793,7363440,4922080
p12,M678,VISp,M678_s072_VISp.tif,217745257,9878880,6504880
p12,M678,VISp,M678_s074_VISp.tif,254709457,11251040,7168500
p12,M678,VISp,M678_s075_VISp.tif,107295489,12123720,6765580
p12,M678,VISp,M678_s076_VISp.tif,187290147,10968678,6367020
p12,M678,VISp,M678_s077_VISp.tif,198968931,9090741,5726080
p12,M678,VISp,M678_s078_VISp.tif,183236016,13104520,7301520
p12,M678,VISp,M678_s079_VISp.tif,182036028,21481716,10130938
p12,M678,VISp,M678_s080_VISp.tif,180403638,16633300,8530840
p12,M678,VISp,M678_s082_VISp.tif,116741749,16750317,7779100
p12,M678,VISp,M678_s083_VISp.tif,284602079,15002240,7458820
p12,M678,VISp,M678_s084_VISp.tif,114593397,12872903,5989401
p12,M678,VISp,M678_s085_VISp.tif,143277831,23015024,9261382
p12,M678,VISp,M678_s086_VISp.tif,399748228,17928540,8879260
p12,M678,VISpm,M678_s065_VISpm.tif,2277903,172800,102400
p12,M678,VISpm,M678_s066_VISpm.tif,6065180,381920,178020
p12,M678,VISpm,M678_s067_VISpm.tif,14418333,796800,398000
p12,M678,VISpm,M678_s068_VISpm.tif,38136712,1712620,1341260
p12,M678,VISpm,M678_s069_VISpm.tif,90749277,2444400,1931600
