age,identifier,region,image_filename,raw_intensity_sum,masked_gauss_intensity_sum,total_image_pixels,tissue_area_pixels
p12,M678,RSPd,M678_s058_RSPd.tif,61633984,1646700.1821079869,2890140,1728780
p12,M678,RSPd,M678_s059_RSPd.tif,102886577,2745142.998742092,3461040,2225780
p12,M678,RSPd,M678_s060_RSPd.tif,51462259,1929208.4343558662,3532620,2237720
p12,M678,RSPd,M678_s061_RSPd.tif,48719894,895191.3050939473,3230000,2010800
p12,M678,RSPd,M678_s062_RSPd.tif,97233672,2472366.9854140114,3093040,1937300
p12,M678,RSPd,M678_s063_RSPd.tif,54364231,1513138.2703226944,3134580,1937980
p12,M678,RSPd,M678_s064_RSPd.tif,59573605,1857585.8799970725,3314220,2002120
p12,M678,RSPd,M678_s065_RSPd.tif,91508337,1742467.7586775352,3169760,1908060
p12,M678,RSPd,M678_s066_RSPd.tif,53462024,1406481.8292926915,3092880,1884240
p12,M678,RSPd,M678_s068_RSPd.tif,91426117,1957295.0502828392,3163700,1812100
p12,M678,RSPd,M678_s069_RSPd.tif,123958434,3406641.6901570866,3640000,2056800
p12,M678,RSPd,M678_s070_RSPd.tif,54622026,1874264.5084238274,3655740,2056900
p12,M678,RSPd,M678_s071_RSPd.tif,103883610,2511603.2413296388,3205780,1798200
p12,M678,RSPd,M678_s072_RSPd.tif,97913450,3034411.8267741045,3765540,1908400
p12,M678,RSPd,M678_s074_RSPd.tif,80049305,1611405.8903602534,3959640,1926220
p12,M678,RSPd,M678_s075_RSPd.tif,51226347,1313064.805850135,3959640,1873600
p12,M678,RSPd,M678_s076_RSPd.tif,83128525,2010976.413532101,3877900,1845540
p12,M678,RSPd,M678_s077_RSPd.tif,108605280,2131534.4432560774,3755340,1785980
p12,M678,RSPd,M678_s078_RSPd.tif,34268951,1181262.2149589588,2991080,1413880
p12,M678,RSPd,M678_s079_RSPd.tif,35118388,1494665.1350164744,3821719,1487480
p12,M678,RSPd,M678_s080_RSPd.tif,29750539,987647.2767577535,3414400,1155200
p12,M678,RSPd,M678_s082_RSPd.tif,37581497,1409618.0783142983,4082420,1658800
p12,M678,RSPd,M678_s083_RSPd.tif,125463256,3687532.7643749723,6591120,2047480
p12,M678,RSPd,M678_s084_RSPd.tif,77172020,2752142.269657105,7614920,2109580
p12,M678,RSPd,M678_s085_RSPd.tif,28738987,963041.325570055,6508080,1663760
p12,M678,RSPd,M678_s086_RSPd.tif,78302281,1566256.8178361354,3579320,1144880
p12,M678,RSPv,M678_s057_RSPv.tif,95908400,2955921.2266207803,4513600,2852800
p12,M678,RSPv,M678_s058_RSPv.tif,93965913,2559082.637845521,3389520,2245160
p12,M678,RSPv,M678_s059_RSPv.tif,102570829,4782459.381455255,4152260,2570240
p12,M678,RSPv,M678_s060_RSPv.tif,76456170,3845822.826640249,4605940,2803920
p12,M678,RSPv,M678_s061_RSPv.tif,75616850,3968435.9668930313,4401600,2863600
p12,M678,RSPv,M678_s062_RSPv.tif,107823442,3541259.320223703,4237080,2785540
p12,M678,RSPv,M678_s063_RSPv.tif,58217603,2692314.8023353266,3465420,2210240
p12,M678,RSPv,M678_s064_RSPv.tif,70664656,2858206.4528764184,3640800,2370400
p12,M678,RSPv,M678_s065_RSPv.tif,89359932,2408328.5595492916,4051179,2591379
p12,M678,RSPv,M678_s066_RSPv.tif,71513249,3060156.73263177,4302500,2675300
p12,M678,RSPv,M678_s068_RSPv.tif,112519358,3129860.3863511467,5547080,3505720
p12,M678,RSPv,M678_s069_RSPv.tif,158272230,5754739.15501217,6410880,4201780
p12,M678,RSPv,M678_s070_RSPv.tif,98425937,3332900.199221506,7726859,5141059
p12,M678,RSPv,M678_s071_RSPv.tif,146324355,3828439.265310308,7364659,5179939
p12,M678,RSPv,M678_s072_RSPv.tif,170729809,5390586.9322568085,8199319,5099619
p12,M678,RSPv,M678_s074_RSPv.tif,106769613,2518880.5447681253,9659958,5467080
p12,M678,RSPv,M678_s075_RSPv.tif,94068908,2376422.6143746073,9306479,5319400
p12,M678,RSPv,M678_s076_RSPv.tif,134151476,3346212.095196376,8673259,4780139
p12,M678,RSPv,M678_s077_RSPv.tif,121837133,4057242.1958670006,6980281,4172301
p12,M678,RSPv,M678_s078_RSPv.tif,52635302,1492307.8342909038,5522000,3052860
p12,M678,RSPv,M678_s079_RSPv.tif,53349447,1537393.0653180252,6485339,3175839
p12,M678,RSPv,M678_s080_RSPv.tif,47916904,1269434.4402882736,5000840,2298840
p12,M678,RSPv,M678_s082_RSPv.tif,27040945,1154171.7360076394,7283439,2286080
p12,M678,RSPv,M678_s083_RSPv.tif,47043524,2201914.33929778,4310820,1881060
p12,M678,RSPv,M678_s084_RSPv.tif,79031888,3434605.8224819317,6639880,2643860
p12,M678,RSPv,M678_s085_RSPv.tif,15814337,474869.9897873565,4966040,1070520
p12,M678,RSPv,M678_s086_RSPv.tif,93168846,2239472.8946712012,5217320,2190140
p12,M678,VISa,M678_s057_VISa.tif,36999288,719763.3036978722,2784000,2017200
p12,M678,VISa,M678_s058_VISa.tif,105772212,2340681.4096397646,4738360,3148780
p12,M678,VISa,M678_s059_VISa.tif,62252119,1150436.6335423728,4381440,2911080
p12,M678,VISa,M678_s060_VISa.tif,33151795,754145.2929360989,3457800,2214820
p12,M678,VISa,M678_s061_VISa.tif,74566784,1874373.3371054535,4955520,3446460
p12,M678,VISa,M678_s065_VISa.tif,605764,10589.474339397037,108000,36000
p12,M678,VISa,M678_s066_VISa.tif,223158,4554.947026142187,16000,9600
p12,M678,VISal,M678_s067_VISal.tif,134594,1661.0883023029137,24000,3200
p12,M678,VISal,M678_s068_VISal.tif,34859608,726905.6917885941,2605860,1064400
p12,M678,VISal,M678_s069_VISal.tif,67019231,2045717.865593781,2997120,1443480
p12,M678,VISal,M678_s070_VISal.tif,43302925,1474496.8011655593,3073920,1565220
p12,M678,VISal,M678_s071_VISal.tif,69217908,1545811.340886941,3967200,2099200
p12,M678,VISal,M678_s072_VISal.tif,60963783,1541407.0274105128,3598620,1809320
p12,M678,VISal,M678_s074_VISal.tif,54291097,1536594.6108415755,3482660,1593980
p12,M678,VISal,M678_s075_VISal.tif,14036277,319734.09778446535,2206800,812800
p12,M678,VISal,M678_s076_VISal.tif,28724604,709819.3238168291,1022400,523200
p12,M678,VISam,M678_s057_VISam.tif,4220778,86019.67606673046,411600,203600
p12,M678,VISam,M678_s058_VISam.tif,8196101,226383.83459647483,458640,227820
p12,M678,VISam,M678_s059_VISam.tif,16799431,286696.8114663121,1033600,458800
p12,M678,VISam,M678_s060_VISam.tif,10811213,237142.19370084905,1429700,652060
p12,M678,VISam,M678_s061_VISam.tif,17042572,452509.5385925365,1368000,819600
