age,identifier,region,image_filename,raw_intensity_sum,dist_weighted_intensity_sum,total_image_pixels,tissue_area_pixels
p12,M678,RSPagl,M678_s069_RSPagl.tif,54115291,17495792.954655256,1636800,1124000
p12,M678,RSPagl,M678_s070_RSPagl.tif,31447912,10093027.797344413,1584000,1124400
p12,M678,RSPagl,M678_s071_RSPagl.tif,41706930,13671108.800914943,1276800,885200
p12,M678,RSPagl,M678_s072_RSPagl.tif,45966149,15123848.110785924,1674000,1058400
p12,M678,RSPagl,M678_s074_RSPagl.tif,41447855,13000534.595608383,2059200,1055600
p12,M678,RSPagl,M678_s075_RSPagl.tif,18889544,6362014.312019489,1978800,960400
p12,M678,RSPagl,M678_s076_RSPagl.tif,36510734,11722888.81831353,2111200,932400
p12,M678,RSPagl,M678_s077_RSPagl.tif,53691063,16426318.628605137,1801360,923840
p12,M678,RSPagl,M678_s078_RSPagl.tif,17709929,5899699.064531682,1711500,822640
p12,M678,RSPagl,M678_s079_RSPagl.tif,20609341,6888238.690699693,2146420,941960
p12,M678,RSPagl,M678_s080_RSPagl.tif,19623452,6432751.1663792785,1958000,790400
p12,M678,RSPagl,M678_s082_RSPagl.tif,20463290,6751318.867271634,2173380,1060860
p12,M678,RSPagl,M678_s083_RSPagl.tif,65296863,20888991.421725664,4395600,1246000
p12,M678,RSPagl,M678_s084_RSPagl.tif,29920764,10057709.585559946,3868040,964480
p12,M678,RSPagl,M678_s085_RSPagl.tif,13106958,4575095.400783355,4326960,877240
p12,M678,RSPagl,M678_s086_RSPagl.tif,52603854,17083632.252191678,2029600,790800
p12,M678,RSPd,M678_s057_RSPd.tif,56179864,19139382.938103646,3168000,1975600
p12,M678,RSPd,M678_s058_RSPd.tif,61633984,19667965.965456214,2890140,1728780
p12,M678,RSPd,M678_s059_RSPd.tif,102886577,35685418.696622394,3461040,2225780
p12,M678,RSPd,M678_s060_RSPd.tif,51462259,17898446.582111847,3532620,2237720
p12,M678,RSPd,M678_s061_RSPd.tif,48719894,16100636.972580457,3230000,2010800
p12,M678,RSPd,M678_s062_RSPd.tif,97233672,32368704.404453754,3093040,1937300
p12,M678,RSPd,M678_s063_RSPd.tif,54364231,18619563.097276874,3134580,1937980
p12,M678,RSPd,M678_s064_RSPd.tif,59573605,20620430.556811184,3314220,2002120
p12,M678,RSPd,M678_s065_RSPd.tif,91508337,30041528.41443863,3169760,1908060
p12,M678,RSPd,M678_s066_RSPd.tif,53462024,17780698.470676422,3092880,1884240
p12,M678,RSPd,M678_s068_RSPd.tif,91426117,29639872.414138414,3163700,1812100
p12,M678,RSPd,M678_s069_RSPd.tif,123958434,43086768.32347659,3640000,2056800
p12,M678,RSPd,M678_s070_RSPd.tif,54622026,18655994.675235458,3655740,2056900
p12,M678,RSPd,M678_s071_RSPd.tif,103883610,34544039.09068336,3205780,1798200
p12,M678,RSPd,M678_s072_RSPd.tif,97913450,33595389.04253821,3765540,1908400
p12,M678,RSPd,M678_s074_RSPd.tif,80049305,26843826.259023227,3959640,1926220
p12,M678,RSPd,M678_s075_RSPd.tif,51226347,17639561.70587759,3959640,1873600
p12,M678,RSPd,M678_s076_RSPd.tif,83128525,27728828.10729218,3877900,1845540
p12,M678,RSPd,M678_s077_RSPd.tif,108605280,35984018.106994376,3755340,1785980
p12,M678,RSPd,M678_s078_RSPd.tif,34268951,11868560.361701457,2991080,1413880
p12,M678,RSPd,M678_s079_RSPd.tif,35118388,12454141.600270603,3821719,1487480
p12,M678,RSPd,M678_s080_RSPd.tif,29750539,10370516.281839605,3414400,1155200
p12,M678,RSPd,M678_s082_RSPd.tif,37581497,13420730.955578245,4082420,1658800
p12,M678,RSPd,M678_s083_RSPd.tif,125463256,39573738.40967967,6591120,2047480
